link,name,salary,city
https://spb.hh.ru/vacancy/39513774?query=php,PHP Developer,120 000-180 000 руб.,"Москва, Выставочная и еще 2 "
https://spb.hh.ru/vacancy/39590262?query=php,Full Stack PHP - программист,120 000-220 000 руб.,Москва
https://spb.hh.ru/vacancy/33636316?query=php,Senior PHP Developer,170 000-270 000 руб.,Москва
https://spb.hh.ru/vacancy/39951580?query=php,PHP developer,100 000-120 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39756518?query=php,Программист PHP,80 000-120 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39958769?query=php,Веб-разработчик,80 000-100 000 руб.,"Москва, Новогиреево"
https://spb.hh.ru/vacancy/39841689?query=php,PHP программист,60 000-85 000 руб.,Нижний Новгород
https://spb.hh.ru/vacancy/39966792?query=php,PHP-программист,120 000-180 000 руб.,"Москва, Деловой центр и еще 1 "
https://spb.hh.ru/vacancy/39948978?query=php,PHP-программист,85 000-120 000 руб.,"Москва, Павелецкая"
https://spb.hh.ru/vacancy/39545275?query=php,PHP-разработчик,100 000-120 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/38709805?query=php,Разработчик PHP,140 000-160 000 руб.,Москва
https://spb.hh.ru/vacancy/39596238?query=php,Web-программист,60 000-90 000 руб.,Нижний Новгород
https://spb.hh.ru/vacancy/39431327?query=php,Стажер/PHP-программист,10 000-10 000 руб.,"Санкт-Петербург, Владимирская и еще 3 "
https://spb.hh.ru/vacancy/39486059?query=php,PHP-программист,180 000-200 000 руб.,Москва
https://spb.hh.ru/vacancy/39570536?query=php,Backend разработчик PHP (Symfony 4),от 120 000 руб.,Москва
https://spb.hh.ru/vacancy/37951352?query=php,PHP-developer/PHP-программист,от 140 000 руб.,Москва
https://spb.hh.ru/vacancy/39987598?query=php,Frontend разработчик / Html верстальщик,30 000-40 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39971163?query=php,Веб-разработчик (Junior),до 30 000 руб.,Тюмень
